RSA Time,BB84 Time,E91 Time
0.1544482707977295,0.007002592086791992,0.037919044494628906
0.24716472625732422,0.006228208541870117,0.028393268585205078
0.2572600841522217,0.0063953399658203125,0.014768838882446289
0.2903168201446533,0.006326436996459961,0.009729146957397461
0.21205592155456543,0.005866527557373047,0.015306234359741211
0.20085787773132324,0.006159305572509766,0.011247873306274414
0.2108168601989746,0.006245851516723633,0.046315670013427734
0.22928071022033691,0.006096363067626953,0.012178421020507812
0.16223859786987305,0.006075143814086914,0.012716531753540039
0.14387965202331543,0.006470918655395508,0.019216537475585938
0.2652735710144043,0.006719827651977539,0.0628352165222168
0.0643312931060791,0.006159782409667969,0.011615514755249023
0.03644824028015137,0.006146669387817383,0.019373178482055664
0.2075197696685791,0.006231546401977539,0.009872198104858398
0.20572876930236816,0.00624394416809082,0.009026288986206055
0.11362767219543457,0.0060579776763916016,0.008723735809326172
0.4703197479248047,0.006086826324462891,0.009894609451293945
0.24245882034301758,0.006237983703613281,0.009266138076782227
0.2628166675567627,0.006242990493774414,0.015124797821044922
0.13070273399353027,0.006373167037963867,0.009893417358398438
